Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
08/02/2021,31,MO,280,5496336,14633,92,3055349,9870,Report,280,14633,314,2546069,5182
08/02/2021,31,FM,146,56356,112,119,33711,86,Admin,146,113,67,29366,49
08/02/2021,31,MS,4363,2188235,7025,3343,1212096,5573,Admin,4363,7026,991,1031914,1523
08/02/2021,31,IL,20775,13703650,27230,14026,7865896,16701,Report,20775,27230,7253,6170812,9432
08/02/2021,31,IN,9205,6093701,9656,5803,3214427,6172,Report,9205,9656,3496,2985186,3542
08/02/2021,31,MI,5,9814443,9342,5,5193478,5642,Report,5,9342,76,4885429,4068
08/02/2021,31,KS,5449,2715318,5535,3972,1513650,4012,Report,5449,5535,1615,1321219,1768
08/02/2021,31,ME,628,1677415,1396,449,918624,925,Admin,628,1396,248,855185,557
08/02/2021,31,NC,15193,9793030,17499,11051,5477863,12715,Admin,15193,17499,4472,4657445,5274
08/02/2021,31,TX,63732,27682138,65947,46366,15547189,47280,Admin,63732,65948,18419,13151876,21195
08/02/2021,31,RI,1646,1332993,1771,990,719625,1087,Report,1646,1771,684,652871,847
08/02/2021,31,WY,101,447749,334,85,247206,252,Admin,101,335,38,215657,128
08/02/2021,31,MA,3960,9177481,8185,2518,5025885,5209,Admin,3960,8185,1645,4421881,3388
08/02/2021,31,PA,19535,14631640,27272,13122,8421982,15916,Report,19535,27272,7502,6729912,12518
08/02/2021,31,AR,5254,2497548,7949,3945,1447386,6082,Admin,5254,7950,1458,1115038,2088
08/02/2021,31,MS,5,2150272,6077,4,1182234,4782,Report,5,6077,40,1027090,1408
08/02/2021,31,US,467676,346924345,673185,319602,191818585,441329,Report,467676,673185,162243,164919666,249471
08/02/2021,31,CA,66248,45340695,88024,42060,25731035,54126,Report,66248,88024,25432,20961749,36459
08/02/2021,31,US,361265,348044553,534390,254957,192573848,370983,Admin,361265,534390,122388,165314632,184743
08/02/2021,31,CT,6113,4605949,6384,4085,2499552,4185,Report,6113,6384,2371,2261543,2575
08/02/2021,31,FL,64042,22690736,63355,48469,12677896,46029,Report,64042,63355,16555,10535074,18183
08/02/2021,31,PR,832,3990725,2303,486,2189548,1122,Admin,832,2304,372,1907547,1258
08/02/2021,31,SD,1108,855675,1134,830,468315,818,Admin,1108,1134,356,414729,384
08/02/2021,31,DE,460,1096340,1415,326,608615,922,Admin,460,1416,160,527620,548
08/02/2021,31,CO,6249,6490299,9707,3798,3496210,5672,Report,6249,9707,2584,3140777,4045
08/02/2021,31,MP,0,61425,174,0,32462,97,Report,0,174,0,29509,81
08/02/2021,31,WV,34,1487890,476,27,826904,300,Report,34,476,73,700036,296
08/02/2021,31,OH,7157,11140550,11532,4869,5933099,7880,Admin,7157,11533,2870,5525806,4369
08/02/2021,31,CT,3018,4612301,4999,2042,2503728,3342,Admin,3018,4999,1144,2264752,1972
08/02/2021,31,ME,221,1666949,1704,151,914835,1103,Report,221,1704,106,854018,693
